time,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,,,,
26.6656,22.88489485,-2.776410997,-56.8158703,-2.217504628,-1.369172581,7.555444972,30.16975451,-9.672364892,-2.139542807,,,,
26.673933,23.13173914,-2.882003397,-56.92329215,1.34887073,-1.135981128,11.39118791,28.3513279,-17.13447011,-7.325940275,,,,
26.682266,23.36984873,-2.946710676,-56.96352198,-3.234800577,-2.230859965,9.07274875,27.56190205,-9.513846704,-1.877758369,,,,
26.690599,23.60003472,-3.043560743,-57.0492897,2.183214545,-0.780431189,12.82214952,26.4864111,-15.20690203,-5.268989444,,,,
26.698932,23.81972837,-3.109459937,-57.09294888,-4.002204269,-0.911749875,10.08575439,25.31843996,-9.804999293,-2.083997637,,,,
26.707265,23.99148035,-3.160824954,-57.14589498,2.639379174,-2.186607033,12.84532845,19.62372446,-8.656544745,-3.829840273,,,,
26.715598,24.14671278,-3.238330603,-57.19241143,-3.767826729,-0.569806099,13.07360149,17.65089846,-11.2457876,-1.673084066,,,,
26.723931,24.27734661,-3.232910454,-57.21463205,1.20535788,-2.624196291,6.359795809,14.82641178,-0.978581101,-3.340232611,,,,
26.732264,24.3820467,-3.330484569,-57.26241495,-1.796419872,-1.490380347,12.89672613,11.64217746,-13.51319075,-0.638935968,,,,
26.740597,24.45155621,-3.272833407,-57.26101493,-0.875927746,-1.799629346,3.798567325,7.597091555,5.879722356,-3.406387687,,,,
26.74893,24.50793552,-3.372711837,-57.2929859,0.225114167,-1.872362018,17.88708592,5.966301621,-12.95518136,1.281172812,,,,
26.757263,24.5427947,-3.297324836,-57.29784585,-2.951406658,-1.413863383,3.692161054,3.338087649,7.527591705,-4.955567509,,,,
26.765596,24.51322413,-3.333539188,-57.28946875,1.07117711,-1.804891557,21.11560601,-4.050505162,-4.007136105,2.43503058,,,,
26.773929,24.47449827,-3.292132825,-57.3123188,-2.150251031,-1.445298873,3.317762925,-5.538396897,2.9032781,-5.109968454,,,,
26.782262,24.3838706,-3.220155716,-57.25577925,-0.369935186,-2.178430721,16.20828915,-11.12550599,10.2097795,2.229950137,,,,
26.790595,24.27950001,-3.190995306,-57.27354813,-1.172410071,-1.274149506,5.441609786,-13.21722877,1.79177612,-3.83111319,,,,
26.798928,24.13825226,-3.084353358,-57.21155168,-1.778504997,-3.357475102,14.19132853,-17.31933761,14.28668994,1.111642629,,,,
26.807261,24.01812124,-3.017249435,-57.19068338,-0.088104123,0.432517573,11.71586639,-14.82716398,7.855635883,-1.418849826,,,,
26.815594,23.8354559,-2.91873908,-57.1432781,-1.019683927,-2.308518156,7.83851856,-22.35721302,12.66770324,-0.014086947,,,,
26.823927,23.63302994,-2.785092026,-57.08947945,-0.896545246,-0.557771806,10.69243395,-24.57165718,16.76507616,-0.995102078,,,,
26.83226,23.402987,-2.674908698,-57.04430963,-0.37476334,-2.169269074,12.26631927,-28.00784588,13.83045364,-0.676507324,,,,
