time(millisecond),latitude,longitude,altitude_above_seaLevel(meters),North,East,Down, xSpeed(m/s), ySpeed(m/s), zSpeed(m/s), roll(degrees), pitch(degrees), compass_heading(degrees)
62700,32.8256397350042,34.9558281339573,10.6942341,-4.79502811466953,-12.306728230047987,-0.4999855085946301,-1.0,-2.9,0.1,-5.1,-5.2,245.5
62800,32.8256388109828,34.9558249933759,10.5942341,-4.897503055728739,-12.600802008503964,-0.39998483642467253,-1.0,-2.8,0.1,-3.1,-5.2,245.5
62900,32.8256379438396,34.9558220714746,10.5942341,-4.993670214044268,-12.874399488121085,-0.39998419713308486,-1.0,-2.8,0.1,0.2,-5.2,245.5
63000,32.825637127074,34.9558191439355,10.5942341,-5.084250408618427,-13.148524871438724,-0.3999835494997157,-1.0,-2.8,0.1,-0.4,-4.1,245.4
63100,32.8256362690664,34.9558162245013,10.5942341,-5.179404400195766,-13.421891349213185,-0.399982886305434,-1.0,-2.8,0.1,-0.6,-5.8,245.3
63200,32.8256353411236,34.9558130634078,10.5942341,-5.282314271178961,-13.717886035809192,-0.3999821514028463,-1.0,-2.8,0.1,-0.1,-9.5,245.4
63300,32.8256344551686,34.9558100445838,10.5942341,-5.380567643271509,-14.000559068723847,-0.3999814378287967,-1.0,-2.8,0.1,0.0,-8.7,245.4
63400,32.8256334761025,34.9558066285268,10.5942341,-5.4891471134818515,-14.320427730798597,-0.39998061287470676,-1.0,-2.9,0.1,-0.5,-8.2,245.5
63500,32.8256325967167,34.9558036415924,10.5942341,-5.586671938418446,-14.600114735261906,-0.39997987728529694,-1.0,-2.9,0.2,-1.3,-8.8,245.5
63600,32.8256316652988,34.9558005449509,10.4942341,-5.6899670868869245,-14.890074131585708,-0.2999790977503798,-1.1,-2.8,0.1,-2.5,-8.7,245.4
63700,32.8256307402189,34.9557976157704,10.4942341,-5.792559447608027,-15.164353261550325,-0.2999783412818102,-1.1,-2.8,0.2,-1.5,-7.8,245.4
63800,32.8256298182656,34.9557946603075,10.4942341,-5.894805052599735,-15.441093397281927,-0.29997756511510776,-1.1,-2.8,0.2,0.0,-8.7,245.4
63900,32.825628893837,34.9557917035499,10.4942341,-5.99732516348196,-15.717954769354188,-0.29997677453181026,-1.0,-2.8,0.2,0.8,-9.2,245.3
64000,32.8256279347812,34.9557885595737,10.4942341,-6.103685447121253,-16.01234669660192,-0.2999759231595327,-1.0,-2.9,0.1,-0.3,-8.5,245.2
64100,32.8256270341995,34.9557855702944,10.4942341,-6.2035608792892845,-16.29225330283683,-0.2999750982578595,-1.0,-2.9,0.1,-1.2,-8.0,245.2
64200,32.8256261468343,34.9557824883845,10.3942341,-6.301970456698523,-16.580833275925766,-0.199974240088304,-1.0,-2.8,0.1,-1.5,-7.9,245.2
64300,32.8256252451714,34.9557795520574,10.3942341,-6.4019657865827275,-16.855781617535257,-0.19997340331973223,-1.0,-2.8,0.1,-2.1,-7.6,245.4
64400,32.825624305442,34.9557764761218,10.3942341,-6.506182718614323,-17.143802459906663,-0.19997251037827102,-1.0,-2.8,0.0,-1.2,-8.6,245.5
64500,32.8256234357031,34.9557735500099,10.3942341,-6.602637613513012,-17.41779428670763,-0.19997165296362507,-1.0,-2.8,0.1,-0.7,-8.2,245.5
64600,32.8256225313174,34.9557705046996,10.3942341,-6.702934864009022,-17.70294747975368,-0.1999707434471425,-1.0,-2.8,0.1,-2.3,-10.1,245.5
64700,32.8256217055399,34.9557676154117,10.3942341,-6.794514363192933,-17.973491228931522,-0.19996987288697987,-1.0,-2.7,0.1,-3.3,-9.0,245.3
64800,32.8256206972074,34.9557646077613,10.2942341,-6.906339353659918,-18.255117810873763,-0.0999689335768652,-1.1,-2.7,0.1,-1.5,-10.1,245.6
64900,32.8256197392655,34.9557617598441,10.2942341,-7.012576078278529,-18.521787775232557,-0.09996803125836706,-1.1,-2.8,0.1,-0.4,-11.1,245.7
65000,32.8256187381307,34.9557587940538,10.2942341,-7.123602933084196,-18.79949501134056,-0.09996707715792841,-1.1,-2.8,0.1,-0.6,-10.0,245.8
65100,32.8256177810876,34.9557560595444,10.2942341,-7.229739986773792,-19.055545847721117,-0.09996618145204117,-1.1,-2.8,0.2,-1.5,-9.3,245.6
65200,32.8256167946544,34.955752931411,10.1942341,-7.339136248667306,-19.348454068061027,3.4844918590515306e-05,-1.1,-2.9,0.2,-0.3,-10.3,245.5
65300,32.8256158502611,34.9557498536606,10.1942341,-7.4438703379883355,-19.636644887072926,3.586464052851568e-05,-1.1,-2.9,0.1,-0.5,-10.1,245.2
65400,32.8256148418374,34.9557465202025,10.0942341,-7.555705319818417,-19.94877905234671,0.10003698586703003,-1.0,-2.9,0.1,-1.5,-8.9,245.2
