SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,
505331557,-5.158768654,6.849897861,-177.2163239,0.497370899,-0.47746703,12.92636108,1.178344488,0.770437777,-3.753305197,0.031982422,-0.536621094,-0.541748047, 
505339890,-5.139306545,6.876120567,-177.2098541,-2.845463037,-1.265636802,8.612335205,0.445265085,2.717529535,0.85686028,0.036376953,-0.538330078,-0.545166016, 
505348223,-5.141681194,6.895968914,-177.2236023,-0.27463299,-0.198518947,14.38508892,-1.876575708,2.181167364,-1.614311576,0.032958984,-0.537841797,-0.543212891, 
505356556,-5.167679787,6.992127895,-177.2337799,-4.615149021,-0.300721258,10.45133877,-4.769396305,11.25526524,-0.366642147,0.036376953,-0.533447266,-0.545166016, 
505364889,-5.198096752,7.061187744,-177.244873,0.701551676,-2.332867622,5.799036026,-5.277352333,8.034456253,-0.760973394,0.036865234,-0.539306641,-0.547607422, 
505373222,-5.230487823,7.080147743,-177.2536621,-2.447907925,0.01292337,10.36331081,-5.554523468,2.01388073,-1.030588627,0.037841797,-0.533935547,-0.542236328, 
505381555,-5.240803719,7.202201366,-177.261673,-1.775513053,-1.626608491,7.730033875,-2.907523155,14.33607006,0.190326571,0.039306641,-0.535400391,-0.547607422, 
505389888,-5.256271839,7.249746323,-177.281311,-1.75195086,0.302918673,14.50222206,-3.358205318,5.54639101,-2.003032923,0.035400391,-0.540283203,-0.544677734, 
505398221,-5.273827553,7.320108414,-177.2859192,-1.033424497,-0.874985278,10.66578007,-3.8268435,8.120596886,0.034950625,0.042724609,-0.536865234,-0.547607422, 
505406554,-5.305499554,7.361957073,-177.2916107,-0.485125273,-0.867012739,11.09205055,-5.510339737,4.714953423,-0.406523526,0.039306641,-0.544677734,-0.544677734, 
505414887,-5.358722687,7.451132774,-177.3140564,-2.927320719,-0.487885624,10.12065792,-7.829990864,10.56714058,-1.860874414,0.041748047,-0.536865234,-0.541259766, 
505423220,-5.391839027,7.532983303,-177.3193512,-2.229632378,-1.660181642,4.235878944,-5.687129498,9.489601135,0.096809,0.046630859,-0.537353516,-0.550537109, 
505431553,-5.423780918,7.523936749,-177.326355,1.907939672,-1.136502981,12.75255013,-5.513514996,-1.339598775,-1.126309037,0.044189453,-0.536376953,-0.542724609, 
505439886,-5.440468788,7.587025642,-177.3385773,-3.977809906,-0.032150194,10.79419422,-3.605536461,7.326887608,-0.927619517,0.044677734,-0.534912109,-0.549072266, 
505448219,-5.487922192,7.631875992,-177.3411713,-0.630307615,0.323394716,14.54126549,-7.444468975,5.050140858,0.012640624,0.042724609,-0.533447266,-0.545654297, 
505456552,-5.51445961,7.712221146,-177.3635559,-3.605504513,-0.409372389,5.388738632,-4.621397495,9.505431175,-1.922169089,0.045654297,-0.529541016,-0.549072266, 
505464885,-5.526385307,7.697668552,-177.3488312,0.780798554,-1.835836172,10.89213181,-3.458971739,-2.24462676,1.381772637,0.044189453,-0.535400391,-0.549560547, 
505473218,-5.527664185,7.75047636,-177.3753815,-0.990596175,-0.265905678,9.336047173,-1.521741629,6.265075207,-2.728248835,0.048095703,-0.531005859,-0.550048828, 
505481551,-5.534920216,7.774441719,-177.3787231,-2.689087868,0.219197109,12.93419456,-2.607247114,2.562204361,-0.312544882,0.046142578,-0.539794922,-0.549072266, 
505489884,-5.56696701,7.845736027,-177.3881226,-1.429937363,-1.320295811,9.800621033,-5.487850666,8.276613235,-0.481496423,0.048095703,-0.529541016,-0.544677734, 
505498217,-5.580675602,7.785070896,-177.3916168,0.009122308,-0.498005569,9.572914124,-3.378030777,-7.542341709,-1.314087033,0.051513672,-0.531982422,-0.554931641, 
505506550,-5.578968525,7.793449879,-177.407608,-2.687870502,-0.720221102,11.71048069,-1.330787659,0.838315427,-1.992557049,0.046630859,-0.530517578,-0.543701172, 
505514883,-5.567709446,7.816647053,-177.4154663,-0.813084245,0.149308786,8.251226425,-0.310854375,2.523757935,-0.85303092,0.050537109,-0.532958984,-0.555908203, 
505523216,-5.578938007,7.81099844,-177.432251,-2.554751873,-0.312541485,12.43589687,-2.869971991,-0.827339649,-2.248519659,0.044189453,-0.532470703,-0.543701172, 
505531549,-5.575426102,7.804760933,-177.4306946,-0.423066616,-2.439848661,5.904054642,-1.394336343,-1.098850608,-0.083066963,0.052001953,-0.534912109,-0.554443359, 
505539882,-5.558588505,7.750865459,-177.4505768,-0.1729431,-0.312619567,12.23841572,0.549028397,-6.556527615,-3.176370382,0.047119141,-0.535888672,-0.546142578, 
505548215,-5.535844326,7.803947926,-177.4569855,-3.791507006,0.576740861,11.34047794,1.043588161,6.076811314,-0.338364094,0.050537109,-0.532958984,-0.549072266, 
505556548,-5.548399448,7.793642044,-177.4594269,-2.079767227,-1.211105466,11.92270851,-3.263381481,-1.549866199,-0.605033815,0.045166016,-0.533447266,-0.547119141, 
505564881,-5.553953648,7.804788113,-177.4627533,-0.117922336,-1.205812097,6.741436005,-2.403614044,1.033444643,-0.458878994,0.051025391,-0.531982422,-0.554443359, 
505573214,-5.520749092,7.766828537,-177.4678497,-2.490847588,-0.270249963,8.90756321,2.269664526,-4.823544502,-1.238806844,0.048583984,-0.533447266,-0.542236328, 
505581547,-5.505973816,7.828175545,-177.4620819,-1.334613085,-0.635723054,14.26155567,-0.111140169,6.924924374,1.195224285,0.052001953,-0.536376953,-0.552978516, 
505589880,-5.507930756,7.861697197,-177.4791718,-2.978879929,-0.897490919,8.448506355,-1.752628565,3.852624655,-1.833082795,0.048095703,-0.533447266,-0.543212891, 
505598213,-5.49991703,7.875787258,-177.4705353,-0.175349802,-0.724086523,9.768950462,-0.970267236,1.245761156,0.988824725,0.051513672,-0.536865234,-0.552978516, 
505606546,-5.461956024,7.88174963,-177.4961395,-0.57542026,-0.878475904,9.188656807,3.178560019,0.656710565,-3.158312082,0.049072266,-0.533447266,-0.547119141, 
505614879,-5.433151722,7.887598038,-177.4925385,-2.776876926,0.890793741,17.38232613,1.606076479,0.321548283,0.299827397,0.052978516,-0.532470703,-0.554931641, 
505623212,-5.432900906,7.974692345,-177.510376,-2.44851613,-0.819170713,6.647973537,-1.471896529,10.25802803,-1.318160057,0.045166016,-0.534912109,-0.545654297, 
505631545,-5.404571533,7.944747925,-177.5170288,-0.456208795,-1.13994348,6.648380756,1.71998322,-3.839958429,-1.321182132,0.052978516,-0.533935547,-0.555908203, 
505639878,-5.353575706,7.96239996,-177.5255737,-1.710749149,-0.736302614,11.7347765,4.466751099,1.857813239,-1.012172103,0.050537109,-0.540283203,-0.544677734, 
505648211,-5.321686268,7.982819557,-177.5172729,-0.859189272,-0.182897538,11.90617752,1.898155689,2.009731293,1.015924454,0.053466797,-0.538330078,-0.550048828, 
505656544,-5.307231426,8.02192688,-177.5432434,-2.21150136,-1.346867919,9.06725502,0.370215386,4.611984253,-2.832473516,0.050537109,-0.536865234,-0.548095703, 
505664877,-5.24251318,8.029518127,-177.5259705,-1.371139169,-0.507074475,6.957853794,5.687372684,0.380922109,1.931608081,0.053466797,-0.541503906,-0.549072266, 
