SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,
468474698,-2.700980663,6.651749134,-139.8708038,0.452929974,-1.865221143,3.589458704,-6.734073639,-10.50879383,3.012362719, 
468483031,-2.775845766,6.658961296,-139.8594971,-3.324090004,-0.521612227,11.74096584,-10.66063213,0.745092511,0.929130793, 
468491364,-2.817890406,6.61726141,-139.8309784,0.424306661,0.126400843,8.022601128,-6.945184708,-5.233718872,2.692952871, 
468499697,-2.871959209,6.630764008,-139.8028717,-2.585132122,-1.60273397,10.25772762,-8.396923065,1.39659059,2.968817949, 
468508030,-2.962898493,6.53938055,-139.7764282,1.349841833,-1.482548237,6.519892216,-12.77931595,-11.18139744,2.119911432, 
468516363,-3.017738819,6.537617683,-139.75177,-3.699509859,0.161591068,15.25047398,-8.438314438,-0.420726597,2.46821332, 
468524696,-3.112419367,6.51364851,-139.726059,1.092785358,-2.226574183,6.809322834,-13.21381092,-3.104919672,2.427461624, 
468533029,-3.232071877,6.388432503,-139.7061615,-1.870074391,-0.468594879,5.36297369,-16.14656639,-15.18920898,1.077949882, 
468541362,-3.357601404,6.417886734,-139.7142181,-2.743177891,-0.194773063,14.5626688,-16.4640522,3.512557268,-1.160901308, 
468549695,-3.436496496,6.315937996,-139.6932983,0.321859181,-0.246031687,10.23612595,-11.26607704,-12.41741085,1.304430842, 
468558028,-3.535242081,6.306932926,-139.695816,-1.826758146,-1.095081091,5.300690174,-13.32438469,-1.130471587,-0.775509477, 
468566361,-3.687887192,6.189190388,-139.6852722,-0.808590472,-0.454747021,5.797661781,-19.97566795,-14.23661518,-0.09260831, 
468574694,-3.774105549,6.192043304,-139.6863708,-2.953451157,0.008316416,18.72181892,-11.84208965,0.276608139,-0.498875737, 
468583027,-3.859897137,6.133896828,-139.6726227,0.970360756,-0.557365537,6.182802677,-11.99260044,-7.126945019,0.715149641, 
468591360,-3.958114624,6.024108887,-139.6769562,-2.330314875,-0.828397393,8.792696953,-13.24108982,-13.1830225,-1.808045387, 
468599693,-4.052246094,6.005526543,-139.6694794,-1.315089464,-0.652228415,6.926745415,-12.90974236,-2.342844486,0.276121497, 
468608026,-4.122123241,5.944560528,-139.6703186,-2.017234087,0.564217508,11.80730152,-9.884418488,-7.365386486,-1.01272285, 
468616359,-4.19813776,5.899984837,-139.6568909,-0.254324406,-0.876704395,7.093366623,-10.80904007,-5.506663322,0.752904773, 
468624692,-4.250363827,5.847766399,-139.6553802,-3.030345201,-0.21356912,12.15546227,-7.794885159,-6.336616039,-0.684681356, 
468633025,-4.317836761,5.853721142,-139.6483765,-1.854660869,-0.191279233,9.025341988,-9.702173233,0.594506383,0.430985153, 
468641358,-4.355782509,5.845865726,-139.6555481,-1.232629061,-0.705431104,8.658254623,-5.97496891,-0.951069355,-1.343837976, 
468649691,-4.387827873,5.831477165,-139.6463013,-0.413697064,-0.329646528,6.327079296,-5.47802639,-1.860477209,0.510671079, 
468658024,-4.445170879,5.86071682,-139.6501465,-3.153854609,-0.385505944,13.33342171,-8.344799042,3.457128286,-0.581584096, 
468666357,-4.459109306,5.894983768,-139.6568451,-2.130732298,0.343677133,7.518966675,-3.110477448,4.104886055,-0.936084986, 
468674690,-4.459801674,6.000500679,-139.6673584,-1.59658432,0.237124875,8.866091728,-1.459768295,12.64728737,-0.712472916, 
468683023,-4.463398933,6.037223339,-139.6500244,-1.59800458,-0.423427761,8.828476906,-2.168846846,4.176861763,1.947603941, 
468691356,-4.456604958,6.134708881,-139.6634979,-1.505680442,-0.693014324,10.38678551,-0.521211326,11.71105957,-1.139590144, 
468699689,-4.408957958,6.252998352,-139.6589508,-2.592133999,0.811072886,7.381332874,4.139312267,14.0555048,1.178511024, 
468708022,-4.396286011,6.402222633,-139.650116,-0.349502087,-1.231902957,9.662800789,-0.107643858,17.69482994,1.996886253, 
468716355,-4.347531796,6.466619492,-139.6441956,-2.001520872,-0.385822505,9.591463089,4.250938416,7.596106052,0.838405073, 
468724688,-4.298186779,6.647474766,-139.6522217,-1.806228399,0.189777836,9.414942741,4.522348404,21.6370945,0.239954263, 
468733021,-4.239576817,6.76526022,-139.6434937,-1.251534462,-0.583586454,7.398409367,5.392129898,13.96134949,1.632113695, 
468741354,-4.199943066,6.879102707,-139.6469727,0.316612184,-1.158159614,8.164392471,3.296399355,13.57757282,0.135755479, 
468749687,-4.141997814,6.969875813,-139.6408539,-2.362622499,0.178885221,11.59814167,5.346280575,10.75610924,1.060967207, 
468758020,-4.103715897,7.136125565,-139.6538849,-0.30384922,-1.51860106,10.79950047,3.274217606,19.93144226,-0.547004998, 
468766353,-4.073867798,7.107730865,-139.6517029,0.737970054,-1.340406775,3.219349384,2.030132771,-3.4726367,-0.444624633, 
468774686,-4.071890354,7.220859051,-139.6756592,-3.1346488,-0.005745195,12.67916965,-0.913442314,13.66678715,-2.32235384, 
468783019,-4.048435211,7.224116802,-139.6719818,0.411381453,-1.294786215,9.883412361,1.239062905,0.302709013,0.005122846, 
